MessageName,MessageID,PackIndex
Vitals_PackVoltageCurrent,128,0
Vitals_PackVoltageCurrent,129,1
Vitals_PackVoltageCurrent,130,2
Status_BMSContactorState,160,0
Status_BMSContactorState,161,1
Status_BMSContactorState,162,2
StateOfEnergy_SOC,896,0
StateOfEnergy_SOC,897,1
StateOfEnergy_SOC,898,2
PowerLimits_MaxChgDschgCurr,352,0
PowerLimits_MaxChgDschgCurr,353,1
PowerLimits_MaxChgDschgCurr,354,2
VoltStatsBlock_CellVoltage,288,0
VoltStatsBlock_CellVoltage,289,1
VoltStatsBlock_CellVoltage,290,2
TempCell_CellTemp,608,0
TempCell_CellTemp,609,1
TempCell_CellTemp,610,2
StressEst,704,0
StressEst,705,1
StressEst,706,2
IsolationStatus,448,0
IsolationStatus,449,1
IsolationStatus,450,2
Protections_BMSFaults,192,0
Protections_BMSFaults,193,1
Protections_BMSFaults,194,2
Protections_BMSFaults,224,0
Protections_BMSFaults,225,1
Protections_BMSFaults,226,2
TempCoolantIn,544,0
TempCoolantIn,545,1
TempCoolantIn,546,2
TempCoolantOut,576,0
TempCoolantOut,577,1
TempCoolantOut,578,2
