Left Inverter Address Claim Timestamp (ms),4519.572
Right Inverter Address Claim Timestamp (ms),3699.541
Left Inverter Invalid to Valid Timestamp (ms),5683.565
Left Inverter Invalid to Valid Timestamp (ms),5803.58

Time Stamp (ms),Left Motor Speed,Right Motor Speed,Left Motor Torque,Right Motor Torque,Left Motor Speed Estimate,Right Motor Speed Estimate
38.754,16767.5,16767.5,1002.1201171875,1002.1201171875,0.0,0.0
43.754,16767.5,16767.5,1002.1201171875,1002.1201171875,0.0,0.0
48.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1092.0,-1092.5
53.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1666.0,-1666.5
58.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1964.5,-1965.0
63.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2115.5,-2116.0
68.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2188.5,-2189.0
73.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2220.0,-2220.5
78.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2229.5,-2230.0
83.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2228.0,-2228.5
88.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2220.0,-2220.5
93.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2209.5,-2210.0
98.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2197.0,-2197.5
103.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2184.5,-2185.0
108.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2172.0,-2172.5
113.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2159.5,-2160.0
118.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2147.0,-2147.5
123.75399999999999,16767.5,16767.5,1002.1201171875,1002.1201171875,2135.0,-2135.5
128.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2123.5,-2124.0
133.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2112.0,-2112.5
138.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2101.0,-2101.5
143.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2090.5,-2091.0
148.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2080.0,-2080.5
153.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2070.0,-2070.5
158.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2060.5,-2061.0
163.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2051.0,-2051.5
168.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2042.0,-2042.5
173.754,16767.5,16767.5,1002.1201171875,1002.1201171875,2033.0,-2033.5
